Age,Gender,Location,Income,Debt,Owns Property,Profession,Demographics,Platform,Total Time Spent,Number of Sessions,Video Category,Video Length,Time Spent On Video,Number of Videos Watched,Scroll Rate,Frequency,ProductivityLoss,Satisfaction,Watch Reason,DeviceType,OS,Watch Time,Self Control,Addiction Level,CurrentActivity,ConnectionType
56,Male,Germany,84166,True,False,Labor/Worker,Urban,TikTok,12,16,Jokes/Memes,20,24,19,55,Morning,8,2,Procrastination,Smartphone,Android,8:00 AM,10,0,At home,Wi-Fi
49,Other,Mexico,68563,True,False,Engineer,Rural,Facebook,223,8,Vlogs,13,29,28,9,Evening,6,4,Boredom,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi
21,Male,Japan,46390,False,False,Cashier,Rural,Instagram,83,7,Trends,8,17,27,17,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At school,Mobile Data
47,Other,United States,71578,True,False,Artist,Urban,TikTok,60,11,Entertainment,27,20,13,21,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At home,Mobile Data
54,Male,India,99025,True,True,driver,Rural,Facebook,76,3,Gaming,29,7,38,60,Night,3,7,Habit,Tablet,Android,9:00 PM,5,5,At home,Mobile Data
40,Male,India,52658,True,False,Students,Rural,YouTube,102,17,Life Hacks,26,11,43,13,Evening,6,4,Entertainment,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
56,Other,India,26852,False,False,Waiting staff,Urban,Facebook,185,14,Trends,22,8,21,3,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At home,Mobile Data
62,Male,United States,22551,False,True,Students,Urban,YouTube,154,6,Entertainment,1,7,27,68,Night,3,7,Boredom,Smartphone,Android,9:00 PM,5,5,At school,Mobile Data
32,Male,United States,91947,True,True,Students,Urban,Facebook,16,8,Vlogs,26,28,46,4,Afternoon,5,5,Boredom,Smartphone,MacOS,5:00 PM,7,3,At home,Mobile Data
60,Female,Japan,81001,True,True,Students,Rural,Instagram,278,5,Pranks,21,19,6,92,Night,3,7,Boredom,Smartphone,MacOS,9:00 PM,5,5,At work,Wi-Fi
46,Other,Pakistan,69159,True,False,driver,Rural,TikTok,13,8,Pranks,7,20,38,7,Night,3,7,Boredom,Tablet,Android,9:00 PM,5,5,At school,Mobile Data
53,Female,Vietnam,71707,True,False,Manager,Rural,Instagram,147,2,Jokes/Memes,15,12,49,26,Evening,6,4,Procrastination,Computer,iOS,2:00 PM,8,2,At school,Mobile Data
30,Other,India,53243,True,False,Students,Rural,Facebook,240,15,Jokes/Memes,29,7,11,75,Evening,6,4,Entertainment,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
49,Male,India,41800,False,True,Waiting staff,Rural,TikTok,97,12,Life Hacks,22,8,47,24,Afternoon,5,5,Entertainment,Tablet,Android,5:00 PM,7,3,At work,Wi-Fi
24,Male,Indonesia,95939,True,False,Labor/Worker,Urban,YouTube,26,17,Trends,13,7,41,10,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At home,Wi-Fi
39,Other,Japan,77828,True,False,Students,Rural,Facebook,61,1,Gaming,13,6,17,13,Night,3,7,Boredom,Smartphone,Windows,9:00 PM,5,5,At work,Mobile Data
45,Male,India,27239,False,False,Manager,Rural,TikTok,143,15,Entertainment,28,25,39,44,Evening,6,4,Entertainment,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
19,Male,Japan,26710,False,False,Cashier,Urban,YouTube,220,14,Jokes/Memes,9,9,7,39,Evening,6,4,Boredom,Smartphone,MacOS,2:00 PM,8,2,Commuting,Mobile Data
59,Male,Japan,41384,False,True,Engineer,Urban,YouTube,228,16,Entertainment,24,27,30,19,Afternoon,5,5,Entertainment,Smartphone,Android,5:00 PM,7,3,At work,Mobile Data
62,Male,Philippines,41038,False,False,Labor/Worker,Rural,Instagram,214,9,Gaming,15,13,21,51,Evening,6,4,Habit,Computer,Windows,2:00 PM,8,2,At school,Mobile Data
23,Male,Japan,60846,True,True,Students,Urban,Facebook,220,1,Gaming,4,7,1,19,Evening,6,4,Entertainment,Tablet,iOS,2:00 PM,8,2,At school,Wi-Fi
45,Female,United States,87821,True,False,Waiting staff,Rural,YouTube,286,17,Trends,13,8,25,76,Afternoon,5,5,Habit,Smartphone,MacOS,5:00 PM,7,3,At work,Mobile Data
45,Female,Philippines,57991,True,True,Labor/Worker,Rural,TikTok,33,13,Trends,27,22,32,52,Afternoon,5,5,Entertainment,Smartphone,Windows,5:00 PM,7,3,At home,Mobile Data
61,Male,Japan,99057,True,False,driver,Rural,YouTube,13,5,Life Hacks,12,17,8,86,Afternoon,5,5,Habit,Smartphone,iOS,5:00 PM,7,3,At school,Wi-Fi
61,Male,Germany,26971,False,True,Students,Rural,YouTube,161,10,Jokes/Memes,5,17,5,47,Night,3,7,Entertainment,Tablet,Android,9:00 PM,5,5,At work,Mobile Data
37,Female,United States,49139,False,False,Cashier,Rural,Instagram,268,6,Entertainment,7,16,30,30,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At work,Mobile Data
47,Male,India,97067,True,True,Cashier,Rural,Instagram,177,19,Gaming,8,22,8,46,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At home,Mobile Data
28,Male,Philippines,57711,True,False,Students,Urban,TikTok,185,13,ASMR,5,2,49,76,Night,3,7,Entertainment,Smartphone,MacOS,9:00 PM,5,5,Commuting,Wi-Fi
45,Female,Indonesia,26530,False,True,Teacher,Urban,Instagram,65,1,Life Hacks,9,8,19,93,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At work,Mobile Data
42,Male,United States,31116,False,False,Waiting staff,Rural,YouTube,117,15,ASMR,14,17,44,21,Morning,8,2,Boredom,Smartphone,Android,8:00 AM,10,0,At home,Wi-Fi
56,Female,Indonesia,85794,True,True,Labor/Worker,Rural,YouTube,150,14,Trends,26,13,30,75,Evening,6,4,Boredom,Tablet,MacOS,2:00 PM,8,2,At school,Mobile Data
50,Male,India,20282,False,False,driver,Urban,Instagram,164,8,Trends,12,18,15,48,Afternoon,5,5,Habit,Smartphone,Android,5:00 PM,7,3,At work,Mobile Data
18,Other,Indonesia,99473,True,True,Waiting staff,Urban,YouTube,271,10,Vlogs,4,24,36,62,Afternoon,5,5,Entertainment,Smartphone,iOS,5:00 PM,7,3,At home,Mobile Data
44,Female,India,21898,False,False,Engineer,Rural,YouTube,282,9,Life Hacks,20,28,44,58,Evening,6,4,Procrastination,Computer,iOS,2:00 PM,8,2,At school,Mobile Data
30,Female,India,24135,False,True,driver,Rural,TikTok,241,17,Life Hacks,29,22,27,18,Evening,6,4,Procrastination,Tablet,Android,2:00 PM,8,2,At school,Mobile Data
58,Male,Philippines,26629,False,False,Labor/Worker,Rural,Instagram,250,9,Jokes/Memes,8,28,13,59,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At school,Wi-Fi
20,Female,Japan,85031,True,True,Cashier,Rural,YouTube,267,3,ASMR,17,10,14,91,Evening,6,4,Habit,Tablet,MacOS,2:00 PM,8,2,At school,Mobile Data
56,Male,Barzil,53380,True,False,Labor/Worker,Rural,Instagram,258,11,Pranks,8,2,37,48,Night,3,7,Entertainment,Smartphone,MacOS,9:00 PM,5,5,At home,Wi-Fi
23,Male,India,37071,False,True,Labor/Worker,Urban,TikTok,86,12,Jokes/Memes,21,2,48,63,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At work,Mobile Data
25,Male,Philippines,40074,False,False,Artist,Rural,Instagram,189,10,Entertainment,29,27,30,12,Afternoon,5,5,Procrastination,Tablet,Android,5:00 PM,7,3,At home,Mobile Data
44,Male,Germany,87843,True,True,Waiting staff,Urban,YouTube,75,17,Life Hacks,27,14,39,87,Morning,8,2,Procrastination,Smartphone,Android,8:00 AM,10,0,At work,Mobile Data
26,Female,India,59901,True,True,driver,Rural,Instagram,180,17,Entertainment,1,16,47,34,Morning,8,2,Entertainment,Smartphone,Windows,8:00 AM,10,0,Commuting,Wi-Fi
54,Male,Mexico,31205,False,True,Teacher,Rural,YouTube,31,11,Pranks,20,7,13,61,Morning,8,2,Habit,Smartphone,Android,8:00 AM,10,0,At home,Mobile Data
50,Male,Indonesia,75661,True,True,Engineer,Rural,YouTube,116,4,Entertainment,2,21,16,87,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,At work,Wi-Fi
59,Other,Barzil,25906,False,False,driver,Rural,YouTube,236,7,Life Hacks,4,21,44,53,Evening,6,4,Entertainment,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi
61,Male,Japan,22591,False,True,Waiting staff,Urban,TikTok,225,14,Jokes/Memes,24,24,7,25,Evening,6,4,Habit,Smartphone,iOS,2:00 PM,8,2,At home,Wi-Fi
41,Female,United States,82987,True,True,Labor/Worker,Rural,Instagram,78,7,Vlogs,21,12,48,62,Afternoon,5,5,Entertainment,Smartphone,MacOS,5:00 PM,7,3,At home,Mobile Data
32,Other,India,83370,True,True,Teacher,Urban,TikTok,93,8,Trends,1,28,27,4,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At school,Wi-Fi
49,Male,Vietnam,74400,True,False,Waiting staff,Rural,Instagram,112,1,Life Hacks,7,23,45,94,Evening,6,4,Habit,Tablet,Android,2:00 PM,8,2,At home,Mobile Data
49,Male,Pakistan,45150,False,True,Waiting staff,Rural,TikTok,48,4,Jokes/Memes,1,28,35,94,Evening,6,4,Habit,Smartphone,Android,2:00 PM,8,2,At home,Mobile Data
41,Male,Barzil,51852,True,False,Manager,Urban,Facebook,22,12,Gaming,9,14,15,13,Night,3,7,Habit,Smartphone,MacOS,9:00 PM,5,5,At work,Wi-Fi
58,Male,United States,62870,True,False,Artist,Rural,YouTube,190,3,Pranks,3,25,28,42,Morning,8,2,Boredom,Computer,Android,8:00 AM,10,0,At home,Wi-Fi
29,Male,India,72756,True,False,Students,Rural,YouTube,277,13,Entertainment,12,4,35,49,Evening,6,4,Boredom,Smartphone,Android,2:00 PM,8,2,Commuting,Mobile Data
56,Other,Vietnam,76481,True,False,Labor/Worker,Rural,TikTok,22,6,Pranks,19,26,7,78,Evening,6,4,Entertainment,Tablet,Android,2:00 PM,8,2,At school,Wi-Fi
19,Female,Philippines,21283,False,False,driver,Rural,Facebook,129,11,Jokes/Memes,15,4,46,56,Morning,8,2,Habit,Computer,MacOS,8:00 AM,10,0,At home,Mobile Data
20,Female,Japan,53691,True,True,Labor/Worker,Rural,YouTube,66,4,Trends,22,18,46,47,Evening,6,4,Habit,Smartphone,Windows,2:00 PM,8,2,At home,Mobile Data
54,Female,India,21125,False,False,Artist,Rural,Instagram,49,16,Gaming,16,3,20,8,Night,3,7,Habit,Smartphone,Android,9:00 PM,5,5,At school,Wi-Fi
34,Male,India,87065,True,False,Students,Rural,TikTok,137,7,Trends,10,1,32,55,Night,3,7,Boredom,Computer,Android,9:00 PM,5,5,Commuting,Wi-Fi
19,Male,India,46170,False,True,Engineer,Urban,YouTube,182,11,Gaming,22,17,38,88,Evening,6,4,Boredom,Computer,Android,2:00 PM,8,2,At school,Mobile Data
19,Male,India,28438,False,True,Waiting staff,Rural,YouTube,44,1,Life Hacks,29,7,40,18,Night,3,7,Habit,Smartphone,Windows,8:30 PM,5,5,At school,Wi-Fi
45,Female,Vietnam,40095,False,True,Waiting staff,Rural,TikTok,268,7,Comedy,27,16,32,35,Evening,6,4,Habit,Smartphone,Android,3:45 PM,8,2,Commuting,Wi-Fi
40,Male,Indonesia,36154,False,False,driver,Rural,TikTok,14,12,Entertainment,27,5,26,89,Night,3,7,Habit,Smartphone,Android,8:30 PM,5,5,At home,Mobile Data
54,Male,Pakistan,28004,False,False,driver,Rural,Instagram,227,7,Entertainment,6,19,39,81,Evening,6,4,Procrastination,Computer,iOS,3:45 PM,8,2,At school,Wi-Fi
49,Female,Germany,29752,False,False,Students,Rural,Instagram,20,7,Gaming,29,7,20,32,Evening,6,4,Habit,Tablet,MacOS,3:45 PM,8,2,At home,Mobile Data
50,Other,India,75426,True,True,Manager,Rural,YouTube,126,10,Vlogs,17,14,18,24,Afternoon,5,5,Habit,Smartphone,Android,6:05 PM,7,3,At work,Wi-Fi
18,Other,Mexico,46819,False,False,Waiting staff,Urban,YouTube,193,16,Trends,21,2,15,7,Evening,6,4,Boredom,Smartphone,Android,3:45 PM,8,2,At school,Mobile Data
36,Female,Pakistan,44217,False,False,Labor/Worker,Rural,TikTok,125,8,Life Hacks,28,3,22,13,Evening,6,4,Habit,Smartphone,iOS,3:45 PM,8,2,At work,Mobile Data
19,Male,India,52994,True,False,Students,Rural,YouTube,171,9,Jokes/Memes,22,17,22,91,Evening,6,4,Boredom,Smartphone,iOS,3:45 PM,8,2,At school,Mobile Data
61,Male,Japan,35036,False,False,Artist,Rural,YouTube,76,9,Entertainment,24,16,21,69,Night,3,7,Habit,Tablet,iOS,8:30 PM,5,5,At home,Mobile Data
43,Male,India,97275,True,True,Engineer,Rural,TikTok,209,2,Gaming,29,8,2,90,Evening,6,4,Entertainment,Computer,Android,3:45 PM,8,2,At home,Mobile Data
49,Male,United States,69416,True,False,Waiting staff,Urban,YouTube,40,13,Life Hacks,17,18,40,42,Morning,8,2,Procrastination,Smartphone,Android,9:15 AM,10,0,At home,Mobile Data
23,Other,Pakistan,29587,False,True,Manager,Rural,YouTube,84,13,Comedy,21,15,43,31,Night,3,7,Procrastination,Smartphone,Android,8:30 PM,5,5,Commuting,Mobile Data
49,Male,Mexico,20645,False,False,Manager,Rural,Facebook,246,4,Pranks,19,7,18,74,Night,3,7,Procrastination,Smartphone,iOS,8:30 PM,5,5,At home,Mobile Data
21,Male,India,50930,True,True,Students,Urban,Instagram,75,12,Trends,18,27,23,26,Night,3,7,Boredom,Smartphone,Android,8:30 PM,5,5,At school,Mobile Data
28,Male,Indonesia,50090,True,False,Students,Rural,TikTok,79,17,Life Hacks,11,9,13,86,Evening,6,4,Entertainment,Computer,MacOS,3:45 PM,8,2,At work,Wi-Fi
34,Other,Vietnam,72142,True,True,Waiting staff,Rural,Facebook,29,2,Vlogs,24,6,41,76,Afternoon,5,5,Entertainment,Tablet,iOS,6:05 PM,7,3,At school,Mobile Data
55,Other,United States,46475,False,False,Students,Rural,Instagram,235,13,ASMR,7,18,9,32,Evening,6,4,Habit,Tablet,iOS,3:45 PM,8,2,At school,Wi-Fi
41,Male,Philippines,38888,False,True,Labor/Worker,Rural,Instagram,208,18,Life Hacks,10,18,49,91,Evening,6,4,Boredom,Tablet,Windows,3:45 PM,8,2,At home,Mobile Data
22,Male,Pakistan,63732,True,False,Manager,Rural,Instagram,48,15,Pranks,7,25,7,97,Evening,6,4,Boredom,Smartphone,Android,3:45 PM,8,2,At work,Wi-Fi
51,Male,Japan,66305,True,True,Engineer,Rural,Facebook,154,8,Entertainment,5,26,41,52,Night,3,7,Habit,Computer,MacOS,8:30 PM,5,5,At work,Wi-Fi
23,Male,Vietnam,66037,True,False,Engineer,Rural,Facebook,54,15,Trends,12,24,1,20,Night,3,7,Habit,Smartphone,Android,8:30 PM,5,5,At school,Wi-Fi
39,Other,United States,29346,False,True,Manager,Rural,Instagram,100,1,Gaming,16,14,2,40,Evening,6,4,Habit,Tablet,Android,3:45 PM,8,2,At home,Mobile Data
28,Male,India,20587,False,False,Labor/Worker,Rural,YouTube,247,10,Life Hacks,29,14,4,59,Night,3,7,Entertainment,Computer,Android,8:30 PM,5,5,At home,Mobile Data
33,Female,United States,32763,False,True,Students,Rural,YouTube,79,12,Pranks,25,14,14,77,Night,3,7,Boredom,Tablet,MacOS,8:30 PM,5,5,At school,Mobile Data
50,Male,Vietnam,79165,True,False,Cashier,Rural,Facebook,175,5,Life Hacks,21,25,32,14,Night,3,7,Entertainment,Tablet,iOS,8:30 PM,5,5,At school,Mobile Data
26,Other,United States,89615,True,True,Students,Urban,Facebook,139,9,Life Hacks,18,4,36,44,Night,3,7,Boredom,Smartphone,Android,8:30 PM,5,5,At home,Wi-Fi
23,Male,Germany,56116,True,False,Waiting staff,Urban,Facebook,223,8,ASMR,3,4,2,86,Afternoon,5,5,Entertainment,Tablet,iOS,6:05 PM,7,3,Commuting,Mobile Data
33,Female,Barzil,45556,False,True,driver,Urban,Instagram,98,16,Trends,20,15,40,82,Evening,6,4,Boredom,Smartphone,iOS,3:45 PM,8,2,Commuting,Mobile Data
46,Female,Indonesia,79042,True,False,Students,Urban,YouTube,261,14,Life Hacks,15,15,14,48,Evening,6,4,Procrastination,Computer,Android,3:45 PM,8,2,At school,Wi-Fi
20,Other,India,38099,False,True,Teacher,Rural,Facebook,81,13,Jokes/Memes,5,18,20,93,Morning,8,2,Habit,Computer,MacOS,9:15 AM,10,0,At home,Mobile Data
37,Female,Vietnam,65096,True,False,Artist,Rural,Facebook,174,13,Trends,13,14,25,43,Night,3,7,Habit,Tablet,Android,8:30 PM,5,5,At work,Mobile Data
53,Male,Germany,91986,True,True,Students,Rural,TikTok,58,5,Jokes/Memes,19,26,42,16,Evening,6,4,Habit,Computer,iOS,3:45 PM,8,2,At school,Mobile Data
36,Female,Germany,33230,False,True,Waiting staff,Rural,Instagram,61,16,Jokes/Memes,12,1,49,35,Afternoon,5,5,Procrastination,Tablet,iOS,6:05 PM,7,3,Commuting,Wi-Fi
43,Other,Philippines,49009,False,True,Waiting staff,Rural,TikTok,298,11,Life Hacks,23,10,8,53,Afternoon,5,5,Entertainment,Smartphone,Windows,6:05 PM,7,3,At work,Mobile Data
20,Other,United States,90969,True,True,Cashier,Rural,YouTube,287,5,Life Hacks,21,29,28,34,Evening,6,4,Entertainment,Tablet,Android,3:45 PM,8,2,At school,Mobile Data
36,Male,Barzil,53866,True,False,driver,Rural,TikTok,123,13,Life Hacks,5,20,46,3,Night,3,7,Procrastination,Smartphone,Android,8:30 PM,5,5,At school,Mobile Data
37,Female,Germany,96975,True,True,driver,Rural,TikTok,248,11,ASMR,6,10,21,68,Night,3,7,Habit,Smartphone,iOS,8:30 PM,5,5,At home,Wi-Fi
49,Male,Barzil,61855,True,False,Waiting staff,Urban,TikTok,142,19,Jokes/Memes,7,10,23,5,Evening,6,4,Procrastination,Smartphone,Android,3:45 PM,8,2,At school,Mobile Data
24,Male,United States,26416,False,False,driver,Rural,Instagram,283,3,Life Hacks,26,27,32,10,Night,3,7,Habit,Smartphone,Android,8:30 PM,5,5,At home,Mobile Data
58,Male,Vietnam,92516,True,False,Students,Rural,YouTube,175,15,Jokes/Memes,10,24,8,52,Morning,8,2,Entertainment,Computer,Windows,9:15 AM,10,0,At home,Mobile Data
50,Female,Japan,75915,True,False,Students,Rural,TikTok,252,7,Life Hacks,16,2,31,29,Evening,6,4,Habit,Smartphone,Windows,3:45 PM,8,2,At home,Mobile Data
57,Female,United States,38058,False,False,Students,Rural,Instagram,147,7,Jokes/Memes,8,29,37,96,Afternoon,5,5,Habit,Smartphone,iOS,6:05 PM,7,3,At school,Mobile Data
56,Male,Germany,96637,True,True,Labor/Worker,Rural,YouTube,88,6,Trends,9,28,16,31,Afternoon,5,5,Procrastination,Smartphone,Android,6:05 PM,7,3,At work,Mobile Data
35,Other,India,60718,True,False,Waiting staff,Urban,Facebook,179,3,Gaming,27,27,40,66,Afternoon,5,5,Entertainment,Smartphone,Android,6:05 PM,7,3,At home,Mobile Data
57,Female,United States,52602,True,False,driver,Rural,TikTok,132,13,Entertainment,4,8,42,76,Night,3,7,Habit,Smartphone,Android,8:30 PM,5,5,At home,Mobile Data
18,Female,United States,94658,True,True,Engineer,Rural,YouTube,185,7,Comedy,21,1,27,91,Evening,6,4,Habit,Smartphone,Windows,3:45 PM,8,2,At work,Mobile Data
28,Male,Philippines,98112,True,True,driver,Urban,TikTok,91,5,Gaming,21,1,40,69,Afternoon,5,5,Habit,Smartphone,Android,6:05 PM,7,3,At work,Mobile Data
45,Female,Indonesia,78067,True,True,Waiting staff,Rural,Facebook,96,18,Pranks,8,4,41,37,Afternoon,5,5,Procrastination,Tablet,iOS,6:05 PM,7,3,At work,Mobile Data
42,Female,India,47516,False,False,Labor/Worker,Rural,YouTube,234,8,Vlogs,25,7,18,27,Afternoon,5,5,Habit,Smartphone,MacOS,6:05 PM,7,3,Commuting,Mobile Data
40,Male,India,21089,False,False,Engineer,Rural,Instagram,25,17,Life Hacks,7,9,35,87,Night,3,7,Procrastination,Smartphone,Windows,8:30 PM,5,5,At home,Wi-Fi
48,Male,Philippines,57346,True,False,Engineer,Rural,YouTube,172,1,Life Hacks,15,16,49,33,Evening,6,4,Boredom,Smartphone,Windows,3:45 PM,8,2,Commuting,Wi-Fi
47,Male,United States,94663,True,True,Labor/Worker,Rural,Instagram,107,14,ASMR,21,5,15,68,Evening,6,4,Habit,Smartphone,iOS,3:45 PM,8,2,At school,Wi-Fi
59,Male,United States,30487,False,False,Waiting staff,Urban,YouTube,165,17,Pranks,3,2,27,59,Evening,6,4,Boredom,Smartphone,Android,3:45 PM,8,2,At work,Mobile Data
52,Male,United States,20155,False,False,Artist,Rural,Instagram,11,10,Entertainment,17,28,17,64,Evening,6,4,Habit,Smartphone,iOS,3:45 PM,8,2,At school,Wi-Fi
24,Male,Germany,87494,True,False,Students,Rural,Facebook,178,12,Pranks,11,23,40,85,Morning,8,2,Boredom,Smartphone,Windows,9:15 AM,10,0,At work,Mobile Data
33,Other,Philippines,96229,True,False,driver,Rural,Facebook,101,16,Life Hacks,9,11,2,88,Evening,6,4,Entertainment,Smartphone,Windows,3:45 PM,8,2,At school,Mobile Data
43,Male,Vietnam,58547,True,True,Labor/Worker,Rural,Facebook,190,14,Entertainment,5,18,49,44,Morning,8,2,Entertainment,Tablet,Android,9:15 AM,10,0,At school,Wi-Fi
19,Male,India,48795,False,False,Students,Urban,YouTube,240,16,Vlogs,25,25,31,95,Night,3,7,Procrastination,Computer,MacOS,8:30 PM,5,5,At work,Mobile Data
18,Male,Mexico,75296,True,True,driver,Rural,Facebook,157,8,Pranks,10,25,37,88,Afternoon,5,5,Habit,Tablet,Android,6:05 PM,7,3,Commuting,Mobile Data
29,Male,Pakistan,41447,False,False,driver,Rural,TikTok,289,10,Jokes/Memes,15,19,41,49,Evening,6,4,Habit,Smartphone,Android,3:45 PM,8,2,At home,Mobile Data
22,Male,United States,56598,True,True,Artist,Urban,Facebook,198,17,Vlogs,28,13,41,53,Night,3,7,Habit,Tablet,iOS,8:30 PM,5,5,At school,Wi-Fi
54,Female,India,61814,True,False,Waiting staff,Urban,Instagram,137,18,Pranks,29,24,34,74,Night,3,7,Habit,Smartphone,MacOS,8:30 PM,5,5,At school,Mobile Data
49,Female,India,95330,True,True,driver,Rural,Instagram,16,16,Comedy,14,11,34,49,Evening,6,4,Boredom,Smartphone,Android,3:45 PM,8,2,At home,Wi-Fi
26,Male,India,83278,True,False,Labor/Worker,Rural,Instagram,56,17,ASMR,4,20,3,66,Afternoon,5,5,Entertainment,Smartphone,Android,6:05 PM,7,3,At work,Mobile Data
58,Other,Philippines,75077,True,True,driver,Rural,YouTube,62,16,Gaming,21,19,17,95,Afternoon,5,5,Habit,Tablet,Android,6:05 PM,7,3,At home,Mobile Data
52,Other,United States,91906,True,False,Waiting staff,Rural,TikTok,196,19,Pranks,20,17,14,63,Evening,6,4,Boredom,Tablet,MacOS,3:45 PM,8,2,At home,Mobile Data
36,Male,Pakistan,29528,False,True,Waiting staff,Rural,Facebook,47,8,Comedy,2,5,14,25,Evening,6,4,Entertainment,Computer,Android,3:45 PM,8,2,At work,Wi-Fi
33,Female,Japan,70100,True,False,Labor/Worker,Rural,TikTok,235,6,Jokes/Memes,12,13,46,4,Evening,6,4,Entertainment,Tablet,iOS,3:45 PM,8,2,Commuting,Mobile Data
20,Female,Germany,28179,False,True,driver,Rural,TikTok,62,6,Pranks,1,27,38,51,Night,3,7,Entertainment,Smartphone,Android,8:30 PM,5,5,At school,Mobile Data
37,Male,Barzil,68781,True,True,Engineer,Rural,Instagram,233,9,Trends,24,20,35,11,Night,3,7,Entertainment,Smartphone,iOS,8:30 PM,5,5,At home,Mobile Data
41,Other,Vietnam,75267,True,True,Labor/Worker,Rural,Instagram,163,4,Vlogs,20,1,1,17,Afternoon,5,5,Entertainment,Tablet,iOS,6:05 PM,7,3,Commuting,Mobile Data
50,Male,Pakistan,43952,False,True,Teacher,Rural,Instagram,57,12,Gaming,5,10,48,66,Night,3,7,Habit,Tablet,Windows,8:30 PM,5,5,At home,Mobile Data
41,Other,Barzil,73798,True,True,Cashier,Rural,YouTube,156,12,Vlogs,6,8,29,70,Evening,6,4,Habit,Tablet,Android,3:45 PM,8,2,At work,Mobile Data
28,Female,Philippines,70939,True,True,Waiting staff,Rural,TikTok,73,17,Pranks,24,24,4,73,Morning,8,2,Boredom,Smartphone,Android,9:15 AM,10,0,At home,Wi-Fi
25,Female,Barzil,49516,False,True,Students,Rural,TikTok,191,15,Vlogs,11,29,33,69,Evening,6,4,Boredom,Tablet,Android,3:45 PM,8,2,At work,Wi-Fi
53,Male,Mexico,76526,True,True,Teacher,Rural,YouTube,134,9,Gaming,8,8,17,84,Evening,6,4,Procrastination,Computer,iOS,3:45 PM,8,2,At home,Mobile Data
55,Male,India,30449,False,True,Labor/Worker,Rural,YouTube,188,7,Trends,7,19,28,29,Evening,6,4,Boredom,Smartphone,iOS,3:45 PM,8,2,Commuting,Wi-Fi
57,Male,Pakistan,70290,True,True,Students,Urban,YouTube,48,10,Entertainment,4,6,26,85,Afternoon,5,5,Habit,Computer,Android,6:05 PM,7,3,At work,Mobile Data
37,Male,Philippines,92954,True,True,Waiting staff,Rural,TikTok,269,16,Vlogs,6,12,8,73,Evening,6,4,Entertainment,Smartphone,Android,3:45 PM,8,2,At home,Mobile Data
52,Male,Pakistan,42746,False,False,Students,Rural,TikTok,12,12,Vlogs,16,28,34,92,Evening,6,4,Habit,Smartphone,Android,3:45 PM,8,2,At school,Mobile Data
42,Female,Mexico,87990,True,True,Waiting staff,Rural,Instagram,73,7,Jokes/Memes,20,7,18,72,Night,3,7,Procrastination,Smartphone,iOS,8:30 PM,5,5,At home,Mobile Data
52,Male,United States,78810,True,False,Students,Rural,Instagram,38,18,Pranks,15,16,31,95,Night,3,7,Habit,Computer,MacOS,8:30 PM,5,5,At work,Mobile Data
42,Female,United States,35223,False,True,Labor/Worker,Urban,TikTok,20,15,Life Hacks,14,9,27,20,Afternoon,5,5,Entertainment,Tablet,iOS,6:05 PM,7,3,Commuting,Mobile Data
46,Female,United States,92237,True,False,Teacher,Rural,Instagram,106,6,ASMR,23,21,16,27,Evening,6,4,Habit,Computer,Android,3:45 PM,8,2,At home,Mobile Data
35,Female,Indonesia,22597,False,True,Labor/Worker,Urban,YouTube,212,12,Jokes/Memes,12,25,10,8,Night,3,7,Entertainment,Smartphone,Windows,8:30 PM,5,5,At work,Mobile Data
63,Male,Barzil,85677,True,False,Waiting staff,Urban,Facebook,30,11,Trends,29,22,40,85,Evening,6,4,Habit,Smartphone,Android,3:45 PM,8,2,At home,Wi-Fi
35,Male,Indonesia,22659,False,True,Students,Rural,Instagram,48,3,Jokes/Memes,12,10,12,61,Evening,6,4,Boredom,Smartphone,Windows,3:45 PM,8,2,At school,Wi-Fi
19,Female,India,94567,True,False,Waiting staff,Rural,TikTok,232,2,Jokes/Memes,16,10,22,28,Afternoon,5,5,Habit,Smartphone,Android,6:05 PM,7,3,At work,Wi-Fi
52,Male,Vietnam,35037,False,True,Labor/Worker,Rural,Instagram,111,6,Life Hacks,15,10,16,87,Afternoon,5,5,Habit,Computer,Android,6:05 PM,7,3,At school,Mobile Data
33,Female,Mexico,66738,True,False,Engineer,Rural,Instagram,55,5,Life Hacks,29,20,12,70,Night,3,7,Entertainment,Tablet,Android,8:30 PM,5,5,At school,Mobile Data
