Age,Income,HasDebt,OwnsProperty,Profession,Demographics,Platform,MinutesSpent,NumSessions,Genre,VideoLength,VideoTime,NumVideos,TimeOfDay,ProductivityLoss,WatchReason,Device,OS,CurrentActivity,Connection,BinnedProdLoss
41,51852,True,False,Manager,Urban,Facebook,22,12,Gaming,9,14,15,Night,3,Habit,Smartphone,MacOS,Work,WiFi,Low
58,62870,True,False,Artist,Rural,YouTube,190,3,Pranks,3,25,28,Morning,8,Boredom,Computer,Android,Home,WiFi,High
29,72756,True,False,Students,Rural,YouTube,277,13,Entertainment,12,4,35,Evening,6,Boredom,Smartphone,Android,Commuting,MobileData,Medium
56,76481,True,False,Labor,Rural,TikTok,22,6,Pranks,19,26,7,Evening,6,Entertainment,Tablet,Android,School,WiFi,Medium
19,21283,False,False,Driver,Rural,Facebook,129,11,Memes,15,4,46,Morning,8,Habit,Computer,MacOS,Home,MobileData,High
20,53691,True,True,Labor,Rural,YouTube,66,4,Trends,22,18,46,Evening,6,Habit,Smartphone,Windows,Home,MobileData,Medium
54,21125,False,False,Artist,Rural,Instagram,49,16,Gaming,16,3,20,Night,3,Habit,Smartphone,Android,School,WiFi,Low
34,87065,True,False,Students,Rural,TikTok,137,7,Trends,10,1,32,Night,3,Boredom,Computer,Android,Commuting,WiFi,Low
19,46170,False,True,Engineer,Urban,YouTube,182,11,Gaming,22,17,38,Evening,6,Boredom,Computer,Android,School,MobileData,Medium
19,28438,False,True,WaitStaff,Rural,YouTube,44,1,LifeHacks,29,7,40,Night,3,Habit,Smartphone,Windows,School,WiFi,Low
45,40095,False,True,WaitStaff,Rural,TikTok,268,7,Comedy,27,16,32,Evening,6,Habit,Smartphone,Android,Commuting,WiFi,Medium
40,36154,False,False,Driver,Rural,TikTok,14,12,Entertainment,27,5,26,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
54,28004,False,False,Driver,Rural,Instagram,227,7,Entertainment,6,19,39,Evening,6,Procrastination,Computer,iOS,School,WiFi,Medium
49,29752,False,False,Students,Rural,Instagram,20,7,Gaming,29,7,20,Evening,6,Habit,Tablet,MacOS,Home,MobileData,Medium
50,75426,True,True,Manager,Rural,YouTube,126,10,Vlogs,17,14,18,Afternoon,5,Habit,Smartphone,Android,Work,WiFi,Medium
18,46819,False,False,WaitStaff,Urban,YouTube,193,16,Trends,21,2,15,Evening,6,Boredom,Smartphone,Android,School,MobileData,Medium
36,44217,False,False,Labor,Rural,TikTok,125,8,LifeHacks,28,3,22,Evening,6,Habit,Smartphone,iOS,Work,MobileData,Medium
19,52994,True,False,Students,Rural,YouTube,171,9,Memes,22,17,22,Evening,6,Boredom,Smartphone,iOS,School,MobileData,Medium
61,35036,False,False,Artist,Rural,YouTube,76,9,Entertainment,24,16,21,Night,3,Habit,Tablet,iOS,Home,MobileData,Low
43,97275,True,True,Engineer,Rural,TikTok,209,2,Gaming,29,8,2,Evening,6,Entertainment,Computer,Android,Home,MobileData,Medium
49,69416,True,False,WaitStaff,Urban,YouTube,40,13,LifeHacks,17,18,40,Morning,8,Procrastination,Smartphone,Android,Home,MobileData,High
23,29587,False,True,Manager,Rural,YouTube,84,13,Comedy,21,15,43,Night,3,Procrastination,Smartphone,Android,Commuting,MobileData,Low
49,20645,False,False,Manager,Rural,Facebook,246,4,Pranks,19,7,18,Night,3,Procrastination,Smartphone,iOS,Home,MobileData,Low
21,50930,True,True,Students,Urban,Instagram,75,12,Trends,18,27,23,Night,3,Boredom,Smartphone,Android,School,MobileData,Low
28,50090,True,False,Students,Rural,TikTok,79,17,LifeHacks,11,9,13,Evening,6,Entertainment,Computer,MacOS,Work,WiFi,Medium
34,72142,True,True,WaitStaff,Rural,Facebook,29,2,Vlogs,24,6,41,Afternoon,5,Entertainment,Tablet,iOS,School,MobileData,Medium
55,46475,False,False,Students,Rural,Instagram,235,13,ASMR,7,18,9,Evening,6,Habit,Tablet,iOS,School,WiFi,Medium
41,38888,False,True,Labor,Rural,Instagram,208,18,LifeHacks,10,18,49,Evening,6,Boredom,Tablet,Windows,Home,MobileData,Medium
22,63732,True,False,Manager,Rural,Instagram,48,15,Pranks,7,25,7,Evening,6,Boredom,Smartphone,Android,Work,WiFi,Medium
51,66305,True,True,Engineer,Rural,Facebook,154,8,Entertainment,5,26,41,Night,3,Habit,Computer,MacOS,Work,WiFi,Low
23,66037,True,False,Engineer,Rural,Facebook,54,15,Trends,12,24,1,Night,3,Habit,Smartphone,Android,School,WiFi,Low
39,29346,False,True,Manager,Rural,Instagram,100,1,Gaming,16,14,2,Evening,6,Habit,Tablet,Android,Home,MobileData,Medium
28,20587,False,False,Labor,Rural,YouTube,247,10,LifeHacks,29,14,4,Night,3,Entertainment,Computer,Android,Home,MobileData,Low
33,32763,False,True,Students,Rural,YouTube,79,12,Pranks,25,14,14,Night,3,Boredom,Tablet,MacOS,School,MobileData,Low
50,79165,True,False,Cashier,Rural,Facebook,175,5,LifeHacks,21,25,32,Night,3,Entertainment,Tablet,iOS,School,MobileData,Low
26,89615,True,True,Students,Urban,Facebook,139,9,LifeHacks,18,4,36,Night,3,Boredom,Smartphone,Android,Home,WiFi,Low
23,56116,True,False,WaitStaff,Urban,Facebook,223,8,ASMR,3,4,2,Afternoon,5,Entertainment,Tablet,iOS,Commuting,MobileData,Medium
33,45556,False,True,Driver,Urban,Instagram,98,16,Trends,20,15,40,Evening,6,Boredom,Smartphone,iOS,Commuting,MobileData,Medium
46,79042,True,False,Students,Urban,YouTube,261,14,LifeHacks,15,15,14,Evening,6,Procrastination,Computer,Android,School,WiFi,Medium
20,38099,False,True,Teacher,Rural,Facebook,81,13,Memes,5,18,20,Morning,8,Habit,Computer,MacOS,Home,MobileData,High
37,65096,True,False,Artist,Rural,Facebook,174,13,Trends,13,14,25,Night,3,Habit,Tablet,Android,Work,MobileData,Low
53,91986,True,True,Students,Rural,TikTok,58,5,Memes,19,26,42,Evening,6,Habit,Computer,iOS,School,MobileData,Medium
36,33230,False,True,WaitStaff,Rural,Instagram,61,16,Memes,12,1,49,Afternoon,5,Procrastination,Tablet,iOS,Commuting,WiFi,Medium
43,49009,False,True,WaitStaff,Rural,TikTok,298,11,LifeHacks,23,10,8,Afternoon,5,Entertainment,Smartphone,Windows,Work,MobileData,Medium
20,90969,True,True,Cashier,Rural,YouTube,287,5,LifeHacks,21,29,28,Evening,6,Entertainment,Tablet,Android,School,MobileData,Medium
36,53866,True,False,Driver,Rural,TikTok,123,13,LifeHacks,5,20,46,Night,3,Procrastination,Smartphone,Android,School,MobileData,Low
37,96975,True,True,Driver,Rural,TikTok,248,11,ASMR,6,10,21,Night,3,Habit,Smartphone,iOS,Home,WiFi,Low
49,61855,True,False,WaitStaff,Urban,TikTok,142,19,Memes,7,10,23,Evening,6,Procrastination,Smartphone,Android,School,MobileData,Medium
24,26416,False,False,Driver,Rural,Instagram,283,3,LifeHacks,26,27,32,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
58,92516,True,False,Students,Rural,YouTube,175,15,Memes,10,24,8,Morning,8,Entertainment,Computer,Windows,Home,MobileData,High
50,75915,True,False,Students,Rural,TikTok,252,7,LifeHacks,16,2,31,Evening,6,Habit,Smartphone,Windows,Home,MobileData,Medium
57,38058,False,False,Students,Rural,Instagram,147,7,Memes,8,29,37,Afternoon,5,Habit,Smartphone,iOS,School,MobileData,Medium
56,96637,True,True,Labor,Rural,YouTube,88,6,Trends,9,28,16,Afternoon,5,Procrastination,Smartphone,Android,Work,MobileData,Medium
35,60718,True,False,WaitStaff,Urban,Facebook,179,3,Gaming,27,27,40,Afternoon,5,Entertainment,Smartphone,Android,Home,MobileData,Medium
57,52602,True,False,Driver,Rural,TikTok,132,13,Entertainment,4,8,42,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
18,94658,True,True,Engineer,Rural,YouTube,185,7,Comedy,21,1,27,Evening,6,Habit,Smartphone,Windows,Work,MobileData,Medium
28,98112,True,True,Driver,Urban,TikTok,91,5,Gaming,21,1,40,Afternoon,5,Habit,Smartphone,Android,Work,MobileData,Medium
45,78067,True,True,WaitStaff,Rural,Facebook,96,18,Pranks,8,4,41,Afternoon,5,Procrastination,Tablet,iOS,Work,MobileData,Medium
42,47516,False,False,Labor,Rural,YouTube,234,8,Vlogs,25,7,18,Afternoon,5,Habit,Smartphone,MacOS,Commuting,MobileData,Medium
40,21089,False,False,Engineer,Rural,Instagram,25,17,LifeHacks,7,9,35,Night,3,Procrastination,Smartphone,Windows,Home,WiFi,Low
48,57346,True,False,Engineer,Rural,YouTube,172,1,LifeHacks,15,16,49,Evening,6,Boredom,Smartphone,Windows,Commuting,WiFi,Medium
47,94663,True,True,Labor,Rural,Instagram,107,14,ASMR,21,5,15,Evening,6,Habit,Smartphone,iOS,School,WiFi,Medium
59,30487,False,False,WaitStaff,Urban,YouTube,165,17,Pranks,3,2,27,Evening,6,Boredom,Smartphone,Android,Work,MobileData,Medium
52,20155,False,False,Artist,Rural,Instagram,11,10,Entertainment,17,28,17,Evening,6,Habit,Smartphone,iOS,School,WiFi,Medium
24,87494,True,False,Students,Rural,Facebook,178,12,Pranks,11,23,40,Morning,8,Boredom,Smartphone,Windows,Work,MobileData,High
33,96229,True,False,Driver,Rural,Facebook,101,16,LifeHacks,9,11,2,Evening,6,Entertainment,Smartphone,Windows,School,MobileData,Medium
43,58547,True,True,Labor,Rural,Facebook,190,14,Entertainment,5,18,49,Morning,8,Entertainment,Tablet,Android,School,WiFi,High
19,48795,False,False,Students,Urban,YouTube,240,16,Vlogs,25,25,31,Night,3,Procrastination,Computer,MacOS,Work,MobileData,Low
18,75296,True,True,Driver,Rural,Facebook,157,8,Pranks,10,25,37,Afternoon,5,Habit,Tablet,Android,Commuting,MobileData,Medium
29,41447,False,False,Driver,Rural,TikTok,289,10,Memes,15,19,41,Evening,6,Habit,Smartphone,Android,Home,MobileData,Medium
22,56598,True,True,Artist,Urban,Facebook,198,17,Vlogs,28,13,41,Night,3,Habit,Tablet,iOS,School,WiFi,Low
54,61814,True,False,WaitStaff,Urban,Instagram,137,18,Pranks,29,24,34,Night,3,Habit,Smartphone,MacOS,School,MobileData,Low
49,95330,True,True,Driver,Rural,Instagram,16,16,Comedy,14,11,34,Evening,6,Boredom,Smartphone,Android,Home,WiFi,Medium
26,83278,True,False,Labor,Rural,Instagram,56,17,ASMR,4,20,3,Afternoon,5,Entertainment,Smartphone,Android,Work,MobileData,Medium
58,75077,True,True,Driver,Rural,YouTube,62,16,Gaming,21,19,17,Afternoon,5,Habit,Tablet,Android,Home,MobileData,Medium
52,91906,True,False,WaitStaff,Rural,TikTok,196,19,Pranks,20,17,14,Evening,6,Boredom,Tablet,MacOS,Home,MobileData,Medium
36,29528,False,True,WaitStaff,Rural,Facebook,47,8,Comedy,2,5,14,Evening,6,Entertainment,Computer,Android,Work,WiFi,Medium
33,70100,True,False,Labor,Rural,TikTok,235,6,Memes,12,13,46,Evening,6,Entertainment,Tablet,iOS,Commuting,MobileData,Medium
20,28179,False,True,Driver,Rural,TikTok,62,6,Pranks,1,27,38,Night,3,Entertainment,Smartphone,Android,School,MobileData,Low
37,68781,True,True,Engineer,Rural,Instagram,233,9,Trends,24,20,35,Night,3,Entertainment,Smartphone,iOS,Home,MobileData,Low
41,75267,True,True,Labor,Rural,Instagram,163,4,Vlogs,20,1,1,Afternoon,5,Entertainment,Tablet,iOS,Commuting,MobileData,Medium
50,43952,False,True,Teacher,Rural,Instagram,57,12,Gaming,5,10,48,Night,3,Habit,Tablet,Windows,Home,MobileData,Low
41,73798,True,True,Cashier,Rural,YouTube,156,12,Vlogs,6,8,29,Evening,6,Habit,Tablet,Android,Work,MobileData,Medium
28,70939,True,True,WaitStaff,Rural,TikTok,73,17,Pranks,24,24,4,Morning,8,Boredom,Smartphone,Android,Home,WiFi,High
25,49516,False,True,Students,Rural,TikTok,191,15,Vlogs,11,29,33,Evening,6,Boredom,Tablet,Android,Work,WiFi,Medium
53,76526,True,True,Teacher,Rural,YouTube,134,9,Gaming,8,8,17,Evening,6,Procrastination,Computer,iOS,Home,MobileData,Medium
55,30449,False,True,Labor,Rural,YouTube,188,7,Trends,7,19,28,Evening,6,Boredom,Smartphone,iOS,Commuting,WiFi,Medium
57,70290,True,True,Students,Urban,YouTube,48,10,Entertainment,4,6,26,Afternoon,5,Habit,Computer,Android,Work,MobileData,Medium
37,92954,True,True,WaitStaff,Rural,TikTok,269,16,Vlogs,6,12,8,Evening,6,Entertainment,Smartphone,Android,Home,MobileData,Medium
52,42746,False,False,Students,Rural,TikTok,12,12,Vlogs,16,28,34,Evening,6,Habit,Smartphone,Android,School,MobileData,Medium
42,87990,True,True,WaitStaff,Rural,Instagram,73,7,Memes,20,7,18,Night,3,Procrastination,Smartphone,iOS,Home,MobileData,Low
52,78810,True,False,Students,Rural,Instagram,38,18,Pranks,15,16,31,Night,3,Habit,Computer,MacOS,Work,MobileData,Low
42,35223,False,True,Labor,Urban,TikTok,20,15,LifeHacks,14,9,27,Afternoon,5,Entertainment,Tablet,iOS,Commuting,MobileData,Medium
46,92237,True,False,Teacher,Rural,Instagram,106,6,ASMR,23,21,16,Evening,6,Habit,Computer,Android,Home,MobileData,Medium
35,22597,False,True,Labor,Urban,YouTube,212,12,Memes,12,25,10,Night,3,Entertainment,Smartphone,Windows,Work,MobileData,Low
63,85677,True,False,WaitStaff,Urban,Facebook,30,11,Trends,29,22,40,Evening,6,Habit,Smartphone,Android,Home,WiFi,Medium
35,22659,False,True,Students,Rural,Instagram,48,3,Memes,12,10,12,Evening,6,Boredom,Smartphone,Windows,School,WiFi,Medium
19,94567,True,False,WaitStaff,Rural,TikTok,232,2,Memes,16,10,22,Afternoon,5,Habit,Smartphone,Android,Work,WiFi,Medium
52,35037,False,True,Labor,Rural,Instagram,111,6,LifeHacks,15,10,16,Afternoon,5,Habit,Computer,Android,School,MobileData,Medium
33,66738,True,False,Engineer,Rural,Instagram,55,5,LifeHacks,29,20,12,Night,3,Entertainment,Tablet,Android,School,MobileData,Low
58,91678,True,True,Engineer,Rural,Instagram,75,18,Trends,13,29,11,Evening,6,Boredom,Tablet,Android,Commuting,MobileData,Medium
53,32109,False,True,WaitStaff,Rural,Facebook,100,16,Pranks,11,16,20,Morning,8,Boredom,Tablet,Android,Work,WiFi,High
50,42010,False,True,Students,Rural,YouTube,173,8,Entertainment,17,1,1,Afternoon,5,Habit,Smartphone,Android,Commuting,WiFi,Medium
21,28787,False,True,WaitStaff,Rural,TikTok,120,11,Vlogs,21,17,27,Afternoon,5,Entertainment,Smartphone,iOS,Home,MobileData,Medium
50,28472,False,False,Engineer,Urban,Facebook,132,10,Vlogs,15,26,3,Afternoon,5,Habit,Smartphone,iOS,Home,MobileData,Medium
31,43383,False,True,Cashier,Rural,TikTok,202,12,Memes,14,21,12,Afternoon,5,Boredom,Computer,Android,School,MobileData,Medium
38,81709,True,False,WaitStaff,Rural,TikTok,108,6,Gaming,10,29,30,Evening,6,Boredom,Smartphone,iOS,Home,MobileData,Medium
37,89785,True,True,Artist,Rural,TikTok,168,5,Memes,12,14,9,Evening,6,Boredom,Smartphone,iOS,Work,MobileData,Medium
25,54518,True,False,WaitStaff,Rural,Facebook,112,9,LifeHacks,16,19,37,Night,3,Habit,Computer,iOS,School,MobileData,Low
24,73909,True,True,Driver,Rural,YouTube,290,16,Entertainment,15,21,1,Evening,6,Habit,Smartphone,Android,Work,WiFi,Medium
20,38351,False,False,Students,Rural,TikTok,52,14,Trends,10,21,42,Morning,8,Entertainment,Smartphone,Android,Home,WiFi,High
34,89624,True,True,Engineer,Rural,YouTube,93,8,Memes,4,17,49,Afternoon,5,Habit,Computer,Android,Work,MobileData,Medium
50,73330,True,False,Manager,Rural,YouTube,200,19,Memes,27,14,4,Morning,8,Entertainment,Smartphone,iOS,Home,MobileData,High
29,35282,False,True,Driver,Rural,Instagram,60,14,Trends,23,8,15,Night,3,Habit,Smartphone,Windows,School,WiFi,Low
39,41778,False,False,Manager,Rural,Facebook,219,7,Trends,29,21,27,Night,3,Habit,Smartphone,Android,Work,MobileData,Low
39,44264,False,True,Students,Urban,Facebook,135,5,Memes,9,21,8,Night,3,Habit,Smartphone,Android,Home,MobileData,Low
63,79675,True,False,WaitStaff,Rural,Instagram,78,18,Memes,21,9,23,Evening,6,Boredom,Computer,MacOS,School,MobileData,Medium
47,25075,False,True,Engineer,Rural,Instagram,274,2,Entertainment,20,8,15,Night,3,Procrastination,Smartphone,iOS,Home,MobileData,Low
55,95948,True,False,Teacher,Rural,YouTube,267,11,Gaming,9,13,27,Night,3,Entertainment,Computer,MacOS,Work,MobileData,Low
55,68454,True,True,Driver,Rural,TikTok,197,8,Memes,21,17,31,Afternoon,5,Boredom,Smartphone,MacOS,School,WiFi,Medium
62,48365,False,False,Students,Rural,Facebook,239,1,Entertainment,25,19,39,Night,3,Habit,Smartphone,Android,Work,MobileData,Low
25,92766,True,True,WaitStaff,Rural,TikTok,198,12,Entertainment,24,28,47,Afternoon,5,Boredom,Smartphone,MacOS,Work,WiFi,Medium
44,68200,True,True,Driver,Urban,TikTok,19,2,Entertainment,20,7,8,Afternoon,5,Entertainment,Smartphone,MacOS,School,MobileData,Medium
44,31002,False,True,Students,Rural,Instagram,123,18,LifeHacks,11,17,30,Morning,8,Entertainment,Smartphone,MacOS,School,MobileData,High
51,33947,False,True,Engineer,Rural,TikTok,85,7,Gaming,11,1,42,Afternoon,5,Entertainment,Tablet,Android,Home,MobileData,Medium
38,99222,True,False,Artist,Urban,YouTube,173,17,Comedy,7,5,18,Evening,6,Habit,Smartphone,Android,Commuting,MobileData,Medium
47,98610,True,True,Driver,Urban,Instagram,94,14,Trends,21,25,4,Evening,6,Habit,Smartphone,iOS,Commuting,MobileData,Medium
50,72142,True,False,Manager,Urban,TikTok,58,7,ASMR,10,6,47,Afternoon,5,Entertainment,Smartphone,Windows,School,WiFi,Medium
45,76307,True,True,Manager,Urban,Instagram,186,3,Gaming,4,26,43,Night,3,Habit,Computer,MacOS,Work,MobileData,Low
64,24493,False,False,Students,Rural,YouTube,227,6,Gaming,5,2,22,Night,3,Entertainment,Tablet,MacOS,School,MobileData,Low
50,70085,True,True,Manager,Rural,YouTube,198,2,ASMR,5,27,3,Afternoon,5,Boredom,Smartphone,Android,Commuting,MobileData,Medium
22,54228,True,False,Students,Rural,TikTok,239,17,Gaming,11,25,15,Night,3,Habit,Smartphone,Windows,Home,MobileData,Low
36,99676,True,True,Students,Rural,Instagram,264,12,Memes,9,16,35,Afternoon,5,Habit,Tablet,Android,Work,MobileData,Medium
21,71875,True,False,Driver,Rural,TikTok,245,12,Memes,28,22,47,Afternoon,5,Entertainment,Smartphone,iOS,School,WiFi,Medium
52,51655,True,True,WaitStaff,Rural,TikTok,35,17,LifeHacks,16,5,38,Afternoon,5,Entertainment,Tablet,iOS,Work,MobileData,Medium
34,63472,True,False,Students,Rural,Instagram,81,10,Vlogs,9,5,33,Afternoon,5,Habit,Smartphone,Windows,Work,MobileData,Medium
61,69437,True,True,WaitStaff,Rural,TikTok,270,3,ASMR,22,12,14,Evening,6,Entertainment,Smartphone,iOS,School,MobileData,Medium
45,69416,True,False,Driver,Rural,YouTube,263,18,ASMR,4,3,48,Night,3,Boredom,Smartphone,Android,Work,MobileData,Low
47,79711,True,True,Teacher,Rural,Instagram,280,13,Trends,2,16,1,Afternoon,5,Boredom,Tablet,Android,Commuting,MobileData,Medium
46,26816,False,False,Students,Urban,Instagram,132,12,ASMR,14,6,49,Night,3,Procrastination,Tablet,Android,School,MobileData,Low
63,97175,True,True,Labor,Rural,Instagram,153,17,Gaming,3,15,26,Evening,6,Entertainment,Tablet,Android,Home,MobileData,Medium
23,84307,True,False,Students,Rural,Instagram,266,4,LifeHacks,18,15,8,Night,3,Boredom,Smartphone,iOS,Home,WiFi,Low
52,66733,True,True,Labor,Rural,TikTok,153,10,Gaming,21,29,16,Evening,6,Habit,Smartphone,Windows,School,MobileData,Medium
58,31240,False,True,Engineer,Rural,TikTok,268,11,LifeHacks,6,16,38,Morning,8,Boredom,Computer,iOS,School,MobileData,High
54,91363,True,True,Students,Urban,YouTube,56,6,Entertainment,11,20,10,Morning,8,Entertainment,Tablet,iOS,School,MobileData,High
41,52762,True,True,Cashier,Urban,Facebook,22,6,ASMR,21,13,42,Morning,8,Habit,Computer,iOS,Commuting,MobileData,High
46,28259,False,False,Driver,Urban,Facebook,217,9,Vlogs,18,12,37,Evening,6,Entertainment,Smartphone,Android,School,WiFi,Medium
63,70139,True,True,Labor,Rural,YouTube,244,15,Entertainment,12,10,26,Evening,6,Boredom,Smartphone,MacOS,School,MobileData,Medium
48,34849,False,False,Engineer,Rural,Facebook,158,2,ASMR,5,14,28,Night,3,Boredom,Computer,Android,Home,WiFi,Low
52,74869,True,True,Students,Rural,YouTube,164,4,LifeHacks,9,2,12,Evening,6,Habit,Smartphone,Android,School,WiFi,Medium
50,83095,True,False,WaitStaff,Urban,TikTok,175,5,Comedy,20,29,20,Evening,6,Boredom,Tablet,iOS,School,MobileData,Medium
38,90910,True,True,Engineer,Rural,Instagram,99,17,LifeHacks,28,3,49,Morning,8,Boredom,Smartphone,Android,Work,WiFi,High
49,43567,False,False,Labor,Rural,Instagram,195,8,LifeHacks,26,9,14,Night,3,Entertainment,Smartphone,MacOS,School,MobileData,Low
40,55292,True,True,Driver,Rural,TikTok,183,8,Comedy,18,11,46,Morning,8,Habit,Tablet,Android,Home,WiFi,High
50,94813,True,False,Students,Rural,Instagram,226,12,Entertainment,19,11,35,Evening,6,Habit,Smartphone,Android,Home,WiFi,Medium
20,71631,True,True,Manager,Rural,Instagram,273,8,Memes,3,25,29,Afternoon,5,Habit,Tablet,Android,Work,MobileData,Medium
35,29885,False,False,WaitStaff,Rural,Facebook,106,19,Trends,9,22,12,Night,3,Habit,Computer,Android,Work,MobileData,Low
42,79659,True,True,Teacher,Rural,TikTok,126,3,Trends,4,10,18,Night,3,Boredom,Smartphone,iOS,School,WiFi,Low
59,74306,True,False,Labor,Rural,Facebook,208,18,Memes,17,26,44,Night,3,Boredom,Smartphone,Windows,Home,MobileData,Low
48,86314,True,True,Labor,Rural,Facebook,30,19,Entertainment,17,14,2,Evening,6,Entertainment,Smartphone,iOS,Home,MobileData,Medium
20,85087,True,False,WaitStaff,Rural,Instagram,209,19,Pranks,23,9,2,Morning,8,Habit,Smartphone,iOS,Home,MobileData,High
57,49165,False,True,Labor,Rural,Instagram,257,15,Trends,23,20,17,Night,3,Entertainment,Tablet,Windows,Home,MobileData,Low
63,78929,True,False,WaitStaff,Rural,TikTok,285,6,Memes,2,27,10,Evening,6,Boredom,Computer,Android,School,WiFi,Medium
41,87028,True,True,Students,Rural,Instagram,273,16,Memes,9,21,18,Evening,6,Habit,Smartphone,Android,Home,MobileData,Medium
49,69812,True,True,Students,Rural,Instagram,67,8,Trends,9,10,22,Afternoon,5,Entertainment,Tablet,Windows,Work,MobileData,Medium
64,70500,True,True,Cashier,Rural,TikTok,40,16,Memes,5,22,19,Evening,6,Procrastination,Smartphone,Android,Home,MobileData,Medium
39,99151,True,True,Teacher,Urban,Instagram,258,18,Memes,15,29,1,Morning,8,Entertainment,Smartphone,iOS,School,MobileData,High
40,78643,True,False,Engineer,Urban,Facebook,102,16,Trends,15,9,24,Evening,6,Boredom,Smartphone,Android,Work,WiFi,Medium
19,64900,True,True,Cashier,Urban,TikTok,274,11,Entertainment,3,29,36,Afternoon,5,Boredom,Smartphone,Android,Work,MobileData,Medium
44,62946,True,False,Students,Urban,Instagram,280,7,Gaming,19,5,25,Night,3,Procrastination,Tablet,iOS,Home,MobileData,Low
59,27851,False,True,Students,Rural,YouTube,103,17,Memes,28,8,36,Night,3,Boredom,Smartphone,Windows,School,MobileData,Low
19,36288,False,False,Students,Urban,TikTok,163,17,Memes,3,11,31,Night,3,Habit,Smartphone,iOS,Commuting,MobileData,Low
43,92692,True,True,Labor,Rural,TikTok,294,12,Gaming,6,1,31,Evening,6,Entertainment,Tablet,Android,Work,WiFi,Medium
34,87580,True,False,Driver,Rural,YouTube,89,13,Gaming,4,21,2,Evening,6,Entertainment,Smartphone,Android,Home,MobileData,Medium
57,27368,False,True,Labor,Rural,Instagram,93,10,LifeHacks,24,10,19,Afternoon,5,Habit,Tablet,iOS,Home,WiFi,Medium
50,66403,True,False,Students,Urban,Instagram,46,7,Entertainment,13,1,12,Evening,6,Boredom,Computer,Android,Commuting,MobileData,Medium
26,29168,False,True,WaitStaff,Urban,TikTok,241,14,Pranks,27,26,10,Morning,8,Habit,Tablet,iOS,Home,MobileData,High
60,69879,True,False,Teacher,Urban,TikTok,102,1,Gaming,13,22,31,Night,3,Boredom,Smartphone,Android,School,WiFi,Low
56,79871,True,True,WaitStaff,Rural,Instagram,111,17,Memes,27,7,45,Morning,8,Entertainment,Smartphone,iOS,Work,WiFi,High
46,52174,True,False,Labor,Rural,Instagram,175,4,Pranks,11,28,22,Afternoon,5,Entertainment,Smartphone,MacOS,School,MobileData,Medium
59,26581,False,True,Students,Urban,Facebook,168,5,Pranks,5,14,23,Night,3,Habit,Tablet,Android,School,WiFi,Low
43,91853,True,False,Driver,Rural,TikTok,23,7,Memes,1,5,23,Morning,8,Habit,Smartphone,Android,School,MobileData,High
52,84046,True,True,WaitStaff,Urban,TikTok,234,10,Memes,9,17,15,Afternoon,5,Habit,Tablet,Android,School,MobileData,Medium
42,69678,True,False,Students,Rural,YouTube,82,17,Gaming,17,22,26,Evening,6,Habit,Computer,iOS,Home,WiFi,Medium
41,46649,False,True,Labor,Urban,Facebook,258,7,Gaming,22,26,3,Evening,6,Entertainment,Tablet,Android,Work,WiFi,Medium
30,34567,False,True,Labor,Rural,Instagram,100,1,Memes,1,21,23,Evening,6,Habit,Tablet,Android,Work,MobileData,Medium
24,81944,True,True,Students,Urban,Facebook,225,7,ASMR,3,6,20,Afternoon,5,Habit,Smartphone,MacOS,Home,MobileData,Medium
53,98002,True,True,Students,Rural,Instagram,99,11,ASMR,15,16,45,Afternoon,5,Entertainment,Tablet,Android,Work,MobileData,Medium
62,48803,False,False,Students,Urban,Instagram,38,9,Trends,26,11,40,Evening,6,Entertainment,Smartphone,iOS,School,MobileData,Medium
37,38230,False,True,Driver,Rural,Facebook,229,12,LifeHacks,21,10,39,Night,3,Habit,Smartphone,iOS,Home,MobileData,Low
18,37862,False,False,Students,Rural,TikTok,224,3,Entertainment,26,15,8,Night,3,Boredom,Smartphone,Android,Home,WiFi,Low
25,63355,True,True,Manager,Urban,Instagram,230,4,Gaming,23,7,18,Night,3,Procrastination,Smartphone,Android,Work,MobileData,Low
63,51259,True,False,Labor,Rural,Facebook,51,4,ASMR,10,23,41,Night,3,Procrastination,Tablet,iOS,School,WiFi,Low
33,50795,True,True,Labor,Rural,YouTube,144,13,LifeHacks,8,2,6,Evening,6,Habit,Computer,Android,Work,MobileData,Medium
31,28770,False,False,Labor,Urban,Facebook,51,19,Pranks,12,12,27,Evening,6,Boredom,Tablet,Android,Home,WiFi,Medium
29,31093,False,True,Labor,Urban,YouTube,173,10,Memes,25,19,36,Night,3,Boredom,Smartphone,Windows,Home,MobileData,Low
40,66571,True,False,Students,Rural,Instagram,292,5,Vlogs,22,12,15,Evening,6,Boredom,Computer,iOS,Commuting,WiFi,Medium
32,20193,False,True,Manager,Rural,Facebook,67,7,Memes,15,16,37,Night,3,Habit,Computer,Android,Home,MobileData,Low
45,37569,False,False,Driver,Urban,Facebook,34,16,Pranks,27,6,5,Evening,6,Boredom,Smartphone,Android,Home,WiFi,Medium
51,31190,False,True,WaitStaff,Rural,YouTube,82,1,LifeHacks,9,3,39,Night,3,Habit,Smartphone,iOS,Home,MobileData,Low
